  0.000000000E+00  0.000000000E+00  0.167618597E+01
  0.305098072E-01  0.216475874E-01  0.167591596E+01
  0.610314384E-01  0.433153436E-01  0.167510521E+01
  0.915767178E-01  0.650037602E-01  0.167375183E+01
  0.122157492E+00  0.867273808E-01  0.167185330E+01
  0.152785599E+00  0.108496182E+00  0.166940510E+01
  0.183472916E+00  0.130319253E+00  0.166640234E+01
  0.214231327E+00  0.152204633E+00  0.166283917E+01
  0.245072752E+00  0.174159437E+00  0.165870917E+01
  0.276009142E+00  0.196189851E+00  0.165400517E+01
  0.307052493E+00  0.218300909E+00  0.164871907E+01
  0.338214844E+00  0.240496546E+00  0.164284241E+01
  0.369508237E+00  0.262779504E+00  0.163636672E+01
  0.400944829E+00  0.285151333E+00  0.162928343E+01
  0.432536811E+00  0.307612002E+00  0.162158310E+01
  0.464296401E+00  0.330160201E+00  0.161325777E+01
  0.496235877E+00  0.352793008E+00  0.160429859E+01
  0.528367698E+00  0.375505447E+00  0.159469783E+01
  0.560704231E+00  0.398290873E+00  0.158444798E+01
  0.593258083E+00  0.421140492E+00  0.157354343E+01
  0.626041770E+00  0.444043219E+00  0.156197941E+01
  0.659068108E+00  0.466985494E+00  0.154975295E+01
  0.692349851E+00  0.489951074E+00  0.153686345E+01
  0.725899816E+00  0.512920856E+00  0.152331245E+01
  0.759731174E+00  0.535872519E+00  0.150910449E+01
  0.793856859E+00  0.558780372E+00  0.149424827E+01
  0.828290224E+00  0.581615508E+00  0.147875547E+01
  0.863044560E+00  0.604344666E+00  0.146264315E+01
  0.898133278E+00  0.626930952E+00  0.144593334E+01
  0.933570087E+00  0.649333179E+00  0.142865396E+01
  0.969368696E+00  0.671506047E+00  0.141083956E+01
  0.100554287E+01  0.693399429E+00  0.139253187E+01
  0.104210675E+01  0.714959621E+00  0.137378001E+01
  0.107907450E+01  0.736128032E+00  0.135464144E+01
  0.111646032E+01  0.756842554E+00  0.133518255E+01
  0.115427876E+01  0.777037501E+00  0.131547880E+01
  0.119254458E+01  0.796644270E+00  0.129561388E+01
  0.123127258E+01  0.815592468E+00  0.127568126E+01
  0.127047765E+01  0.833810568E+00  0.125578249E+01
  0.131017494E+01  0.851227701E+00  0.123602617E+01
  0.135038006E+01  0.867775381E+00  0.121652710E+01
  0.139110851E+01  0.883389294E+00  0.119740462E+01
  0.143237603E+01  0.898010910E+00  0.117877996E+01
  0.147419846E+01  0.911590457E+00  0.116077352E+01
  0.151659226E+01  0.924089193E+00  0.114350140E+01
  0.155957377E+01  0.935480654E+00  0.112707341E+01
  0.160315967E+01  0.945753872E+00  0.111158741E+01
  0.164736676E+01  0.954913139E+00  0.109712756E+01
  0.169221234E+01  0.962980211E+00  0.108376122E+01
  0.173771346E+01  0.969992936E+00  0.107153523E+01
  0.178388810E+01  0.976005316E+00  0.106047487E+01
  0.183075404E+01  0.981084943E+00  0.105058408E+01
  0.187832940E+01  0.985311091E+00  0.104184473E+01
  0.192663264E+01  0.988770366E+00  0.103421807E+01
  0.197568238E+01  0.991554260E+00  0.102764773E+01
  0.202549791E+01  0.993755639E+00  0.102206171E+01
  0.207609820E+01  0.995464683E+00  0.101737785E+01
  0.212750292E+01  0.996766329E+00  0.101350498E+01
  0.217973232E+01  0.997738361E+00  0.101034892E+01
  0.223280621E+01  0.998449385E+00  0.100781608E+01
  0.228674531E+01  0.998958707E+00  0.100581408E+01
  0.234157062E+01  0.999315381E+00  0.100425673E+01
